2196,4941
13084,6824
14062,10273
10189,5487
3561,10824
7976,9916
8950,10860
1017,7766
11862,1436
11825,1306
3038,2082
4987,9949
15237,9616
12911,8506
13687,10311
8852,917
8217,2312
3344,3567
12782,150
2389,9856
12200,15040
15139,6603
5237,7477
2688,4803
14306,13314
3108,2304
8253,3599
10696,15703
6238,572
8826,5462
1128,2044
14471,15217
4579,627
4363,10611
290,10843
9133,8916
12831,4456
15284,8855
888,10621
12902,9584
10307,5270
10635,7004
14022,9443
6363,15670
5265,14462
2765,3148
1163,3505
8557,4248
7048,12859
3400,15931
