0,246,630,1091,274,117,351,1025,1117,51,890,947,537,489,669,39,987,1006,130,123,1049,173,719,747,140,905,287,262,641,627,221,447,1121,249,34,274,989,99,534,291,727,46,1025,956,894,245,268,289,896,1064
246,0,259,957,946,202,194,35,332,898,874,295,31,913,433,842,549,33,559,620,836,576,410,1083,169,86,949,730,908,1056,456,1080,627,80,810,1175,1067,103,177,802,1180,433,1126,309,443,940,671,751,619,750
630,259,0,78,690,946,605,1128,457,527,609,573,917,1040,67,522,657,905,377,158,758,88,964,627,1193,1073,1019,699,994,674,284,1009,453,494,254,616,236,320,1128,654,146,978,984,765,849,1184,996,911,145,580
1091,957,78,0,1073,449,1105,564,175,942,677,890,642,537,981,372,807,332,1042,300,569,65,629,990,554,376,216,974,385,537,125,1096,635,60,319,995,416,358,298,123,696,1128,576,766,1175,694,165,487,203,248
274,946,690,1073,0,1183,138,206,901,429,436,269,251,1149,830,560,1093,758,200,534,240,149,749,986,733,999,1178,32,1199,1096,922,908,727,1078,443,849,344,1061,371,1016,402,748,84,761,642,182,361,991,1052,592
117,202,946,449,1183,0,37,331,1040,320,494,826,350,382,1017,975,380,566,646,130,1082,1112,238,1002,356,849,147,110,295,946,503,310,855,859,839,436,1009,271,869,597,907,1066,1157,56,525,1183,725,109,96,174
351,194,605,1105,138,37,0,360,644,835,908,563,1048,810,1093,1119,115,168,400,732,832,470,836,458,149,698,440,261,297,572,36,291,629,343,307,348,1191,260,340,694,602,767,815,418,763,509,319,946,974,901
1025,35,1128,564,206,331,360,0,800,731,1129,800,278,401,405,956,262,318,379,830,404,312,965,742,1100,549,742,1166,418,246,612,666,868,810,1090,490,203,703,400,371,338,458,185,917,394,637,714,996,932,153
1117,332,457,175,901,1040,644,800,0,1192,1014,886,43,552,434,400,661,355,971,930,398,33,487,786,536,1085,969,704,410,367,887,1056,263,1197,511,1094,850,376,955,391,162,229,728,868,46,1100,1042,401,476,742
51,898,527,942,429,320,835,731,1192,0,301,404,1093,62,209,569,199,371,910,810,281,434,439,813,1024,1055,812,719,81,617,1094,787,1140,995,1193,1080,200,671,446,319,1030,561,533,524,988,745,1113,862,126,482
890,874,609,677,436,494,908,1129,1014,301,0,123,884,1059,1033,176,1012,318,235,1023,105,489,718,426,588,1100,279,885,982,501,288,774,1091,137,753,606,927,1011,648,359,595,277,594,359,383,411,569,781,193,639
947,295,573,890,269,826,563,800,886,404,123,0,833,668,1012,1130,235,962,667,1036,906,91,1113,596,1025,344,141,693,490,107,467,433,894,276,931,174,1038,1111,375,1104,591,1083,33,687,654,157,759,1074,379,696
537,31,917,642,251,350,1048,278,43,1093,884,833,0,790,126,133,486,1198,228,196,323,318,1159,517,103,681,1200,59,275,341,623,497,494,952,705,1050,771,991,287,624,876,1138,765,799,216,577,266,686,624,524
489,913,1040,537,1149,382,810,401,552,62,1059,668,790,0,1063,1138,150,934,408,839,147,691,208,1178,523,568,443,961,99,60,377,512,1064,755,645,75,1117,685,662,919,165,341,336,1166,646,602,828,781,836,656
669,433,67,981,830,1017,1093,405,434,209,1033,1012,126,1063,0,1063,1021,694,394,802,555,58,428,999,214,169,84,901,1078,293,272,613,255,599,728,506,229,932,712,30,249,531,675,1195,65,991,498,1007,792,562
39,842,522,372,560,975,1119,956,400,569,176,1130,133,1138,1063,0,572,320,409,175,1050,693,801,888,121,159,795,474,658,1180,430,290,593,1017,954,442,194,347,386,830,63,647,376,834,51,103,614,538,284,648
987,549,657,807,1093,380,115,262,661,199,1012,235,486,150,1021,572,0,987,611,397,383,463,544,1031,941,1035,1085,515,154,77,43,182,134,495,768,921,1126,683,1005,574,894,1060,352,970,472,891,517,417,1154,919
1006,33,905,332,758,566,168,318,355,371,318,962,1198,934,694,320,987,0,871,692,50,547,225,247,1116,374,137,1086,530,1113,95,102,125,327,501,1104,204,352,273,936,615,496,478,1008,306,819,1151,320,972,973
130,559,377,1042,200,646,400,379,971,910,235,667,228,408,394,409,611,871,0,313,947,510,940,1046,339,610,797,1168,638,1048,763,717,347,1141,527,706,1091,1178,157,350,276,354,699,445,284,365,357,452,686,650
123,620,158,300,534,130,732,830,930,810,1023,1036,196,839,802,175,397,692,313,0,426,1046,512,339,354,510,671,297,448,224,164,791,279,1149,48,600,791,577,269,671,884,324,263,442,60,685,521,1092,1030,412
1049,836,758,569,240,1082,832,404,398,281,105,906,323,147,555,1050,383,50,947,426,0,553,84,588,791,637,327,949,486,146,687,937,844,948,441,98,321,521,991,974,1119,642,514,121,445,185,881,1097,817,461
173,576,88,65,149,1112,470,312,33,434,489,91,318,691,58,693,463,547,510,1046,553,0,479,1146,760,1179,148,493,314,436,352,446,764,79,1172,1068,669,719,504,308,625,1005,214,100,931,668,625,181,1116,797
719,410,964,629,749,238,836,965,487,439,718,1113,1159,208,428,801,544,225,940,512,84,479,0,875,316,1024,143,615,415,569,230,861,1011,353,616,800,537,161,1083,1060,1065,1179,291,94,99,729,753,462,37,1108
