0,358,617,337,580,347,76,523,1167,1005,85,362,240,611,240,1177,1183,302,1171,811,896,163,1058,57,897,1096,773,1172,715,638,184,304,1178,567,157,458,443,608,885,924
358,0,791,244,159,246,221,594,63,890,59,675,1151,996,1093,62,960,1089,1088,411,519,808,642,849,254,1197,345,892,593,199,328,1095,569,1161,229,846,710,868,354,1189
617,791,0,169,149,1183,740,1020,973,273,587,904,643,1189,361,369,1059,308,522,798,779,958,764,149,602,781,721,768,1158,428,830,219,194,816,388,922,1092,822,544,518
337,244,169,0,1030,1092,127,1185,403,1109,213,682,1158,735,1097,710,214,964,288,336,455,593,567,118,777,878,484,581,1028,308,374,705,983,1089,773,570,907,714,691,706
580,159,149,1030,0,280,281,1086,336,1120,451,85,230,782,762,562,69,592,139,511,343,221,50,311,820,647,628,706,848,679,828,443,706,952,98,925,105,642,236,1083
347,246,1183,1092,280,0,541,633,886,1141,337,504,1188,275,815,1003,132,497,397,603,930,901,1166,68,122,831,530,1039,920,314,525,979,554,239,541,217,347,714,776,287
76,221,740,127,281,541,0,527,1113,928,722,523,1101,1129,938,263,680,986,63,515,234,164,550,1060,1088,199,1153,906,701,1047,588,454,645,737,1089,351,1060,1132,1117,872
523,594,1020,1185,1086,633,527,0,1163,446,389,1016,1140,1195,1173,159,65,723,533,335,387,947,140,313,1065,41,942,49,473,579,516,1125,482,944,512,883,220,121,749,653
1167,63,973,403,336,886,1113,1163,0,512,475,1030,252,1178,887,907,733,554,1200,640,622,498,94,188,713,743,444,1076,646,807,688,543,1017,130,677,945,522,1103,439,1013
1005,890,273,1109,1120,1141,928,446,512,0,143,379,774,467,539,554,495,999,417,232,802,513,682,391,1055,404,828,1172,260,278,871,161,938,480,1192,164,574,271,275,383
85,59,587,213,451,337,722,389,475,143,0,965,1094,1017,60,553,603,808,1078,1181,472,627,872,167,718,274,1005,1039,340,227,482,290,384,683,489,872,1026,551,828,653
362,675,904,682,85,504,523,1016,1030,379,965,0,562,200,129,202,980,260,1181,301,884,905,61,796,567,318,698,780,731,853,784,859,564,312,295,472,188,795,1185,1074
240,1151,643,1158,230,1188,1101,1140,252,774,1094,562,0,782,486,248,70,155,988,1183,233,1158,1177,1037,224,685,72,907,445,36,439,347,1050,191,722,466,1045,163,522,593
611,996,1189,735,782,275,1129,1195,1178,467,1017,200,782,0,323,379,1002,625,489,501,759,1123,1088,613,676,742,703,826,216,1009,58,498,429,47,285,1095,687,674,1077,1161
240,1093,361,1097,762,815,938,1173,887,539,60,129,486,323,0,1158,804,611,354,802,972,1131,612,328,301,783,840,172,1082,627,1047,1025,1089,980,577,908,804,281,214,849
1177,62,369,710,562,1003,263,159,907,554,553,202,248,379,1158,0,240,480,241,394,348,761,996,289,609,131,838,155,828,593,901,593,261,309,588,991,593,151,986,1123
1183,960,1059,214,69,132,680,65,733,495,603,980,70,1002,804,240,0,370,1115,323,387,764,428,224,399,211,34,128,328,718,910,525,297,674,472,1129,1077,655,113,51
302,1089,308,964,592,497,986,723,554,999,808,260,155,625,611,480,370,0,277,1000,1042,61,1190,875,356,519,808,504,773,92,1083,63,125,403,335,221,95,812,1174,1028
1171,1088,522,288,139,397,63,533,1200,417,1078,1181,988,489,354,241,1115,277,0,830,752,329,1133,514,698,538,866,821,771,855,869,337,919,1174,678,70,393,154,572,885
811,411,798,336,511,603,515,335,640,232,1181,301,1183,501,802,394,323,1000,830,0,109,121,123,1168,954,917,1139,1008,599,164,44,566,774,597,840,959,745,181,361,1052
896,519,779,455,343,930,234,387,622,802,472,884,233,759,972,348,387,1042,752,109,0,150,1084,500,228,45,984,616,950,232,232,60,1156,848,1106,375,908,767,278,948
163,808,958,593,221,901,164,947,498,513,627,905,1158,1123,1131,761,764,61,329,121,150,0,980,121,214,89,1190,1077,238,496,216,1162,46,649,314,284,557,880,192,820
1058,642,764,567,50,1166,550,140,94,682,872,61,1177,1088,612,996,428,1190,1133,123,1084,980,0,94,505,129,1186,611,568,1152,1085,187,606,531,503,276,206,405,380,264
57,849,149,118,311,68,1060,313,188,391,167,796,1037,613,328,289,224,875,514,1168,500,121,94,0,1030,347,713,633,1006,311,239,533,142,294,820,1074,53,435,60,149
897,254,602,777,820,122,1088,1065,713,1055,718,567,224,676,301,609,399,356,698,954,228,214,505,1030,0,407,355,497,1074,747,762,491,380,406,1133,963,902,839,216,820
1096,1197,781,878,647,831,199,41,743,404,274,318,685,742,783,131,211,519,538,917,45,89,129,347,407,0,517,322,1008,84,1098,214,993,1196,982,1059,79,461,919,850
773,345,721,484,628,530,1153,942,444,828,1005,698,72,703,840,838,34,808,866,1139,984,1190,1186,713,355,517,0,637,41,130,919,355,499,235,946,971,476,787,265,742
1172,892,768,581,706,1039,906,49,1076,1172,1039,780,907,826,172,155,128,504,821,1008,616,1077,611,633,497,322,637,0,45,196,777,198,524,485,104,285,968,483,106,988
715,593,1158,1028,848,920,701,473,646,260,340,731,445,216,1082,828,328,773,771,599,950,238,568,1006,1074,1008,41,45,0,852,760,101,529,603,433,1005,194,309,593,413
638,199,428,308,679,314,1047,579,807,278,227,853,36,1009,627,593,718,92,855,164,232,496,1152,311,747,84,130,196,852,0,108,1103,227,782,992,1012,1170,135,1064,706
184,328,830,374,828,525,588,516,688,871,482,784,439,58,1047,901,910,1083,869,44,232,216,1085,239,762,1098,919,777,760,108,0,727,378,155,883,858,875,914,385,817
304,1095,219,705,443,979,454,1125,543,161,290,859,347,498,1025,593,525,63,337,566,60,1162,187,533,491,214,355,198,101,1103,727,0,376,690,192,146,581,715,424,942
1178,569,194,983,706,554,645,482,1017,938,384,564,1050,429,1089,261,297,125,919,774,1156,46,606,142,380,993,499,524,529,227,378,376,0,987,763,623,626,292,761,962
567,1161,816,1089,952,239,737,944,130,480,683,312,191,47,980,309,674,403,1174,597,848,649,531,294,406,1196,235,485,603,782,155,690,987,0,573,986,117,105,620,403
157,229,388,773,98,541,1089,512,677,1192,489,295,722,285,577,588,472,335,678,840,1106,314,503,820,1133,982,946,104,433,992,883,192,763,573,0,799,1137,222,455,57
