0,305,478,489,750,1024,787,452,739,1189,949,641,954,346,998,1135,461,731,236,1022
305,0,71,968,103,430,81,46,571,448,1046,493,773,275,504,1035,460,186,301,652
478,71,0,298,311,276,541,1010,145,426,440,528,796,104,717,801,439,1115,1003,53
489,968,298,0,1087,664,767,308,1136,1196,1034,823,604,863,1169,1144,1111,1179,1043,842
750,103,311,1087,0,932,688,196,348,504,654,481,681,541,695,815,618,369,823,740
1024,430,276,664,932,0,596,499,56,141,249,846,887,301,1003,728,456,362,1058,739
787,81,541,767,688,596,0,62,440,147,489,549,1056,1073,879,377,607,934,588,1166
452,46,1010,308,196,499,62,0,611,1022,601,979,448,1105,470,567,1136,237,527,109
739,571,145,1136,348,56,440,611,0,157,888,186,326,520,646,1050,343,186,556,576
1189,448,426,1196,504,141,147,1022,157,0,386,857,419,1108,590,457,533,314,328,318
949,1046,440,1034,654,249,489,601,888,386,0,494,1118,678,385,713,44,270,259,348
641,493,528,823,481,846,549,979,186,857,494,0,772,803,866,568,722,272,273,1120
954,773,796,604,681,887,1056,448,326,419,1118,772,0,655,120,943,1062,1064,81,903
346,275,104,863,541,301,1073,1105,520,1108,678,803,655,0,92,566,973,977,262,801
998,504,717,1169,695,1003,879,470,646,590,385,866,120,92,0,659,70,665,1157,732
1135,1035,801,1144,815,728,377,567,1050,457,713,568,943,566,659,0,221,1096,580,479
461,460,439,1111,618,456,607,1136,343,533,44,722,1062,973,70,221,0,607,696,583
731,186,1115,1179,369,362,934,237,186,314,270,272,1064,977,665,1096,607,0,306,583
236,301,1003,1043,823,1058,588,527,556,328,259,273,81,262,1157,580,696,306,0,1153
1022,652,53,842,740,739,1166,109,576,318,348,1120,903,801,732,479,583,583,1153,0
