0,358,617,337,580,347,76,523,1167,1005,85,362
358,0,791,244,159,246,221,594,63,890,59,675
617,791,0,169,149,1183,740,1020,973,273,587,904
337,244,169,0,1030,1092,127,1185,403,1109,213,682
580,159,149,1030,0,280,281,1086,336,1120,451,85
347,246,1183,1092,280,0,541,633,886,1141,337,504
76,221,740,127,281,541,0,527,1113,928,722,523
523,594,1020,1185,1086,633,527,0,1163,446,389,1016
1167,63,973,403,336,886,1113,1163,0,512,475,1030
1005,890,273,1109,1120,1141,928,446,512,0,143,379
85,59,587,213,451,337,722,389,475,143,0,965
362,675,904,682,85,504,523,1016,1030,379,965,0
