8575,10819
2071,6736
6618,758
13798,6769
6824,2995
11515,14899
2301,5200
14524,15438
1031,4546
12260,2631
15279,12087
9614,14887
15710,4283
6870,6878
9223,2821
14705,4845
11161,4391
10164,5595
8135,11119
10399,5192
9413,15119
12295,4180
7239,8586
5233,12836
643,5813
14557,7828
8098,3416
11518,11183
12114,15612
7078,12478
5472,10544
3350,12315
578,3503
5863,14337
8244,5050
7540,14073
7943,4814
6490,5550
3389,4998
13133,10604
7128,3384
11373,9815
14764,15278
2997,3051
9126,14194
14162,6102
10675,12784
12365,3135
4594,15773
11060,14895
273,1937
12171,5657
4201,15217
10334,3334
4284,13605
3044,8938
13670,11738
12116,8508
1704,15401
5627,4557
15481,3166
12019,12599
5622,1644
5837,3109
3667,7784
13658,6500
15638,2462
1571,5414
5311,6528
10136,2600
6351,6728
5158,10244
10447,8068
14612,8739
4655,1395
13634,9342
6260,1531
13639,1505
4518,5514
11068,11854
1119,10010
1987,6319
10121,1476
1668,5410
8372,12074
8516,7120
14428,3398
9540,13762
10175,2071
14178,6612
1772,7424
15916,13707
13065,13373
10021,8529
14457,15725
6663,1491
15016,11631
9535,4707
12726,10205
11699,11555
