0,142,83,21,165,200,21,130,17,68,62,22,65,14,91
142,0,172,169,133,103,105,69,79,120,84,151,43,48,89
83,172,0,157,128,33,107,40,107,1,16,182,133,115,25
21,169,157,0,74,108,78,103,51,164,171,182,151,131,2
165,133,128,74,0,123,118,129,140,153,93,81,127,70,150
200,103,33,108,123,0,102,158,143,2,69,9,11,157,194
21,105,107,78,118,102,0,181,29,11,131,134,149,182,37
130,69,40,103,129,158,181,0,29,116,51,57,125,32,28
17,79,107,51,140,143,29,29,0,193,175,48,117,11,59
68,120,1,164,153,2,11,116,193,0,25,169,69,90,39
62,84,16,171,93,69,131,51,175,25,0,125,86,163,127
22,151,182,182,81,9,134,57,48,169,125,0,180,77,182
65,43,133,151,127,11,149,125,117,69,86,180,0,11,88
14,48,115,131,70,157,182,32,11,90,163,77,11,0,62
91,89,25,2,150,194,37,28,59,39,127,182,88,62,0
