0,13,64,50,8,59,87,61,44,66,55,81,70,65,42
13,0,35,39,35,84,63,2,86,10,23,56,6,46,74
64,35,0,93,54,16,97,98,49,20,33,16,48,45,26
50,39,93,0,51,2,51,41,100,80,83,61,73,55,79
8,35,54,51,0,56,53,100,77,41,46,60,22,15,18
59,84,16,2,56,0,1,90,8,33,39,22,44,18,20
87,63,97,51,53,1,0,37,70,72,59,43,48,10,42
61,2,98,41,100,90,37,0,13,89,49,34,70,54,36
44,86,49,100,77,8,70,13,0,31,76,10,63,61,12
66,10,20,80,41,33,72,89,31,0,17,74,97,42,99
55,23,33,83,46,39,59,49,76,17,0,44,29,32,17
81,56,16,61,60,22,43,34,10,74,44,0,66,22,12
70,6,48,73,22,44,48,70,63,97,29,66,0,31,61
65,46,45,55,15,18,10,54,61,42,32,22,31,0,15
42,74,26,79,18,20,42,36,12,99,17,12,61,15,0
